DATE,TIME,TEMPERATURE,
10/21/2023,0:00:02,31.2,
10/21/2023,0:15:02,31.2,
10/21/2023,0:30:02,31.2,
10/21/2023,0:45:02,31.1,
10/21/2023,1:00:02,31.1,
10/21/2023,1:15:02,31.1,
10/21/2023,1:30:02,31.1,
10/21/2023,1:45:02,31.1,
10/21/2023,2:00:02,31.2,
10/21/2023,2:15:02,31.2,
10/21/2023,2:30:02,31.1,
10/21/2023,2:45:02,31.2,
10/21/2023,3:00:02,31.1,
10/21/2023,3:15:02,31.1,
10/21/2023,3:30:02,31.2,
10/21/2023,3:45:02,31.2,
10/21/2023,4:00:02,30.2,
10/21/2023,4:15:02,30.9,
10/21/2023,4:30:02,31,
10/21/2023,4:45:02,31,
10/21/2023,5:00:02,30.9,
10/21/2023,5:15:02,30.9,
10/21/2023,5:30:02,30.9,
10/21/2023,5:45:02,30.9,
10/21/2023,6:00:02,31,
10/21/2023,6:15:02,30.9,
10/21/2023,6:30:02,31.2,
10/21/2023,6:45:02,31.1,
10/21/2023,7:00:02,31.1,
10/21/2023,7:15:02,31.2,
10/21/2023,7:30:02,31.2,
10/21/2023,7:45:02,31.1,
10/21/2023,8:00:02,31.1,
10/21/2023,8:15:02,31.2,
10/21/2023,8:30:02,31.1,
10/21/2023,8:45:02,31.2,
10/21/2023,9:00:02,31.2,
10/21/2023,9:15:02,31.5,
10/21/2023,9:30:02,31.6,
10/21/2023,9:45:02,31.8,
10/21/2023,10:00:02,32,
10/21/2023,10:15:02,32.1,
10/21/2023,10:30:02,32.4,
10/21/2023,10:45:02,32.5,
10/21/2023,11:00:02,33,
10/21/2023,11:15:02,33,
10/21/2023,11:30:02,33.1,
10/21/2023,11:45:02,33.4,
10/21/2023,12:00:02,33.1,
10/21/2023,12:15:02,33.5,
10/21/2023,12:30:02,33.7,
10/21/2023,12:45:02,33.8,
10/21/2023,13:00:02,34.1,
10/21/2023,13:15:02,34.2,
10/21/2023,13:30:02,34.4,
10/21/2023,13:45:02,34.5,
10/21/2023,14:00:02,34.3,
10/21/2023,14:15:02,34.5,
10/21/2023,14:30:02,34.2,
10/21/2023,14:45:02,34.2,
10/21/2023,15:00:02,34.4,
10/21/2023,15:15:02,34.5,
10/21/2023,15:30:02,31.2,
10/21/2023,15:45:02,34.3,
10/21/2023,16:00:02,34.5,
10/21/2023,16:15:02,34.2,
10/21/2023,16:30:02,34.2,
10/21/2023,16:45:02,34.1,
10/21/2023,17:00:02,34.2,
10/21/2023,17:15:02,33.8,
10/21/2023,17:30:02,33.5,
10/21/2023,17:45:02,33.1,
10/21/2023,18:00:02,32.2,
10/21/2023,18:15:02,32.2,
10/21/2023,18:30:02,31.2,
10/21/2023,18:45:02,31.1,
10/21/2023,19:00:02,31.2,
10/21/2023,19:15:02,31.1,
10/21/2023,19:30:02,31.2,
10/21/2023,19:45:02,31.2,
10/21/2023,20:00:02,31.2,
10/21/2023,20:15:02,31.1,
10/21/2023,20:30:02,31.2,
10/21/2023,20:45:02,31.2,
10/21/2023,21:00:02,31.2,
10/21/2023,21:15:02,31.2,
10/21/2023,21:30:02,31.2,
10/21/2023,21:45:02,31.1,
10/21/2023,22:00:02,31.2,
10/21/2023,22:15:02,31.1,
10/21/2023,22:30:02,31.1,
10/21/2023,22:45:02,31.2,
10/21/2023,23:00:02,31.2,
10/21/2023,23:15:02,31.1,
10/21/2023,23:30:02,31.1,
10/21/2023,23:45:02,31.1,
